accession,secondary_accessions,name,synonyms,chemical_formula,iupac_name,cas_registry_number,smiles,inchi,inchikey,monisotopic_molecular_weight,average_molecular_weight,file_name,dim
HMDB0000001,"['HMDB00001', 'HMDB0004935', 'HMDB0006703', 'HMDB0006704', 'HMDB04935', 'HMDB06703', 'HMDB06704']",1-Methylhistidine,"['(2S)-2-Amino-3-(1-methyl-1H-imidazol-4-yl)propanoic acid', 'Pi-methylhistidine', '(2S)-2-Amino-3-(1-methyl-1H-imidazol-4-yl)propanoate', '1 Methylhistidine', '1-Methyl histidine', '1-Methyl-histidine', '1-Methyl-L-histidine', '1-MHis', '1-N-Methyl-L-histidine', 'L-1-Methylhistidine', 'N1-Methyl-L-histidine', '1-Methylhistidine dihydrochloride', '1-Methylhistidine']",C7H11N3O2,(2S)-2-amino-3-(1-methyl-1H-imidazol-4-yl)propanoic acid,332-80-9,CN1C=NC(C[C@H](N)C(O)=O)=C1,"InChI=1S/C7H11N3O2/c1-10-3-5(9-4-10)2-6(8)7(11)12/h3-4,6H,2,8H2,1H3,(H,11,12)/t6-/m0/s1",BRMWTNUJHUMWMS-LURJTMIESA-N,169.085126611,169.1811,HMDB0000001_nmroned_1022_27891.txt,nmroned
HMDB0000002,"['HMDB00002', 'HMDB0060172', 'HMDB60172']","1,3-Diaminopropane","['1,3-Propanediamine', '1,3-Propylenediamine', 'Propane-1,3-diamine', 'tn', 'Trimethylenediamine', '1,3-Diaminepropane', 'Trimethylenediamine dihydrochloride', 'Trimethylenediamine hydrochloride', '1,3-diamino-N-Propane', '1,3-Trimethylenediamine', '3-Aminopropylamine', 'a,W-Propanediamine', '1,3-Diaminopropane']",C3H10N2,"propane-1,3-diamine",109-76-2,NCCCN,InChI=1S/C3H10N2/c4-2-1-3-5/h1-5H2,XFNJVJPLKCPIBV-UHFFFAOYSA-N,74.08439833,74.1249,HMDB0000002_nmroned_1023_27894.txt,nmroned
HMDB0000005,"['HMDB00005', 'HMDB0006544', 'HMDB06544']",2-Ketobutyric acid,"['2-Ketobutanoic acid', '2-Oxobutyric acid', '3-Methyl pyruvic acid', 'alpha-Ketobutyrate', 'alpha-Ketobutyric acid', 'alpha-oxo-N-Butyric acid', '2-Oxobutyrate', '2-Oxobutanoic acid', '2-Ketobutanoate', '3-Methyl pyruvate', 'a-Ketobutyrate', 'a-Ketobutyric acid', 'Α-ketobutyrate', 'Α-ketobutyric acid', 'a-oxo-N-Butyrate', 'a-oxo-N-Butyric acid', 'alpha-oxo-N-Butyrate', 'Α-oxo-N-butyrate', 'Α-oxo-N-butyric acid', '2-Oxobutanoate', '2-Ketobutyrate', '2-oxo-Butanoate', '2-oxo-Butanoic acid', '2-oxo-Butyrate', '2-oxo-Butyric acid', '2-oxo-N-Butyrate', '2-oxo-N-Butyric acid', '3-Methylpyruvate', '3-Methylpyruvic acid', 'a-Keto-N-butyrate', 'a-Keto-N-butyric acid', 'a-Oxobutyrate', 'a-Oxobutyric acid', 'alpha-Keto-N-butyrate', 'alpha-Keto-N-butyric acid', 'alpha-Ketobutric acid', 'alpha-Oxobutyrate', 'alpha-Oxobutyric acid', 'Methyl-pyruvate', 'Methyl-pyruvic acid', 'Propionyl-formate', 'Propionyl-formic acid', 'alpha-Ketobutyric acid, sodium salt', '2-Ketobutyric acid']",C4H6O3,2-oxobutanoic acid,600-18-0,CCC(=O)C(O)=O,"InChI=1S/C4H6O3/c1-2-3(5)4(6)7/h2H2,1H3,(H,6,7)",TYEYBOSBBBHJIV-UHFFFAOYSA-N,102.031694058,102.0886,HMDB0000005_nmroned_1024_27899.txt,nmroned
HMDB0000008,['HMDB00008'],2-Hydroxybutyric acid,"['(S)-2-Hydroxybutanoic acid', '2-Hydroxybutyrate', '2-Hydroxybutyric acid', 'L-2-Hydroxybutanoic acid', 'L-2-Hydroxybutyric acid', 'L-alpha-Hydroxybutanoic acid', 'L-alpha-Hydroxybutyric acid', '(S)-2-Hydroxybutanoate', 'L-2-Hydroxybutanoate', 'L-2-Hydroxybutyrate', 'L-a-Hydroxybutanoate', 'L-a-Hydroxybutanoic acid', 'L-alpha-Hydroxybutanoate', 'L-Α-hydroxybutanoate', 'L-Α-hydroxybutanoic acid', 'L-a-Hydroxybutyrate', 'L-a-Hydroxybutyric acid', 'L-alpha-Hydroxybutyrate', 'L-Α-hydroxybutyrate', 'L-Α-hydroxybutyric acid', '(S)-2-Hydroxybutyrate', '2-Hydroxybutanoate', '(+)-2-Hydroxy-n-butyric acid', '(+)-2-Hydroxybutanoic acid', '(+)-2-Hydroxybutyric acid', '(+)-alpha-Hydroxybutyric acid', '(+)-α-Hydroxybutyric acid', '(2S)-2-Hydroxybutanoic acid', '(S)-(+)-2-Hydroxybutanoic acid', '(S)-2-Hydroxybutyric acid', '2-Hydroxybutanoic acid', 'alpha-Hydroxy-n-butyric acid', 'alpha-Hydroxybutanoic acid', 'alpha-Hydroxybutyric acid', 'α-Hydroxy-n-butyric acid', 'α-Hydroxybutanoic acid', 'α-Hydroxybutyric acid']",C4H8O3,(2S)-2-hydroxybutanoic acid,3347-90-8,CC[C@H](O)C(O)=O,"InChI=1S/C4H8O3/c1-2-3(5)4(6)7/h3,5H,2H2,1H3,(H,6,7)/t3-/m0/s1",AFENDNXGAFYKQO-VKHMYHEASA-N,104.047344118,104.105,HMDB0000008_nmroned_5245_2734397.txt,nmroned
HMDB0000010,"['HMDB00010', 'HMDB0004990', 'HMDB0004991', 'HMDB04990', 'HMDB04991']",2-Methoxyestrone,"['2-(8S,9S,13S,14S)-3-Hydroxy-2-methoxy-13-methyl-7,8,9,11,12,14,15,16-octahydro-6H-cyclopenta[a]phenanthren-17-one', '2-Hydroxyestrone 2-methyl ether', '2-Methoxy-17-oxoestra-1,3,5(10)-trien-3-ol', '2-Methoxy-3-hydroxyestra-1,3,5(10)-trien-17-one', '3-Hydroxy-2-methoxy-estra-1,3,5(10)-trien-17-one', '3-Hydroxy-2-methoxyestra-1,3,5(10)-trien-17-one', 'Methoxy-estrone']",C19H24O3,"(1S,10R,11S,15S)-5-hydroxy-4-methoxy-15-methyltetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadeca-2(7),3,5-trien-14-one",362-08-3,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C(OC)=C3,"InChI=1S/C19H24O3/c1-19-8-7-12-13(15(19)5-6-18(19)21)4-3-11-9-16(20)17(22-2)10-14(11)12/h9-10,12-13,15,20H,3-8H2,1-2H3/t12-,13+,15-,19-/m0/s1",WHEUWNKSCXYKBU-QPWUGHHJSA-N,300.172544634,300.3921,HMDB0000010_nmroned_1026_27907.txt,nmroned
HMDB0000011,"['HMDB0000357', 'HMDB00011', 'HMDB00357']",3-Hydroxybutyric acid,"['(R)-(-)-beta-Hydroxybutyric acid', '(R)-3-Hydroxybutanoic acid', '3-D-Hydroxybutyric acid', 'D-3-Hydroxybutyric acid', 'D-beta-Hydroxybutyric acid', '(R)-(-)-b-Hydroxybutyrate', '(R)-(-)-b-Hydroxybutyric acid', '(R)-(-)-beta-Hydroxybutyrate', '(R)-(-)-Β-hydroxybutyrate', '(R)-(-)-Β-hydroxybutyric acid', '(R)-3-Hydroxybutanoate', '3-D-Hydroxybutyrate', 'D-3-Hydroxybutyrate', 'D-b-Hydroxybutyrate', 'D-b-Hydroxybutyric acid', 'D-beta-Hydroxybutyrate', 'D-Β-hydroxybutyrate', 'D-Β-hydroxybutyric acid', '(R)-3-Hydroxybutyrate', '3-delta-Hydroxybutyrate', '3-delta-Hydroxybutyric acid', 'BHIB', 'D-(-)-3-Hydroxybutyrate', 'delta-(-)-3-Hydroxybutyrate', 'delta-3-Hydroxybutyrate', 'delta-3-Hydroxybutyric acid', 'delta-beta-Hydroxybutyrate', '3R-Hydroxy-butanoate', '(R)-3-Hydroxybutyric acid', '(-)-3-Hydroxy-n-butyric acid', '(-)-3-Hydroxybutyric acid', '(3R)-3-Hydroxybutanoic acid', '(3R)-3-Hydroxybutyric acid', '(3R)-Hydroxybutyrate', '(R)-(-)-3-Hydroxybutyric acid', '(R)-beta-Hydroxybutanoic acid', '(R)-beta-Hydroxybutyric acid', '(R)-β-Hydroxybutanoic acid', '(R)-β-Hydroxybutyric acid', '3-Hydroxy-n-butyric acid', '3-Hydroxybutanoic acid', '3-Hydroxybutyric acid', '3R-Hydroxybutanoic acid', 'D-(-)-3-Hydroxybutanoic acid', 'D-(-)-3-Hydroxybutyric acid', 'D-(-)-beta-Hydroxybutyric acid', 'D-(-)-β-Hydroxybutyric acid', 'beta-Hydroxy-n-butyric acid', 'beta-Hydroxybutanoic acid', 'beta-Hydroxybutyric acid', 'β-Hydroxy-n-butyric acid', 'β-Hydroxybutanoic acid', 'β-Hydroxybutyric acid']",C4H8O3,(3R)-3-hydroxybutanoic acid,625-72-9,C[C@@H](O)CC(O)=O,"InChI=1S/C4H8O3/c1-3(5)2-4(6)7/h3,5H,2H2,1H3,(H,6,7)/t3-/m1/s1",WHBMMWSBFZVSSR-GSVOUGTGSA-N,104.047344122,104.1045,HMDB0000011_nmroned_1027_27912.txt,nmroned
HMDB0000012,['HMDB00012'],Deoxyuridine,"['2-Deoxyuridine', 'dU', ""2'-Deoxyuridine"", '1-(2-Deoxy-beta-D-erythro-pentofuranosyl)-2,4(1H,3H)-pyrimidinedione', '1-(2-Deoxy-beta-D-ribofuranosyl)-2,4(1H,3H)-pyrimidinedione', '1-(2-Deoxy-beta-delta-erythro-pentofuranosyl)-2,4(1H,3H)-pyrimidinedione', '1-(2-Deoxy-beta-delta-ribofuranosyl)-2,4(1H,3H)-pyrimidinedione', '1-(2-Deoxy-D-erythro-pentofuranosyl)uracil', '1-(2-Deoxy-delta-erythro-pentofuranosyl)uracil', ""2'-Desoxyuridine"", 'Deoxyribose uracil', 'Desoxyuridine', 'Uracil deoxyriboside', 'Uracil desoxyuridine', '(beta 1-(2-Deoxyribopyranosyl))thymidine', 'Deoxyuridine']",C9H12N2O5,"1-[(2R,4S,5R)-4-hydroxy-5-(hydroxymethyl)oxolan-2-yl]-1,2,3,4-tetrahydropyrimidine-2,4-dione",951-78-0,OC[C@H]1O[C@H](C[C@@H]1O)N1C=CC(=O)NC1=O,"InChI=1S/C9H12N2O5/c12-4-6-5(13)3-8(16-6)11-2-1-7(14)10-9(11)15/h1-2,5-6,8,12-13H,3-4H2,(H,10,14,15)/t5-,6+,8+/m0/s1",MXHRCPNRJAMMIM-SHYZEUOFSA-N,228.074621504,228.202,HMDB0000012_nmroned_1028_27917.txt,nmroned
HMDB0000014,['HMDB00014'],Deoxycytidine,"['4-Amino-1-[(2R,4S,5R)-4-hydroxy-5-(hydroxymethyl)tetrahydrofuran-2-yl]pyrimidin-2(1H)-one', 'dC', 'DCYD', ""2'-Deoxycytidine"", '1-(2-Deoxy-b-D-ribofuranosyl)cytosine', '1-(2-Deoxy-beta-D-erythro-pentofuranosyl)-cytosine', '1-(2-Deoxy-beta-D-ribofuranosyl)cytosine', '1-(2-Deoxy-beta-delta-erythro-pentofuranosyl)-cytosine', '1-(2-Deoxy-beta-delta-ribofuranosyl)cytosine', '2-Deoxy-cytidine', '4-Amino-1-(2-deoxy-b-D-erythro-pentofuranosyl)-2(1H)-pyrimidinone', '4-Amino-1-(2-deoxy-beta-D-erythro-pentofuranosyl)-2(1H)-pyrimidinone', '4-Amino-1-(2-deoxy-beta-delta-erythro-pentofuranosyl)-2(1H)-pyrimidinone', 'Cytosine deoxyribonucleoside', 'Cytosine deoxyriboside', 'Deoxy-cytidine', 'Deoxyribose cytidine', 'Desoxycytidine', 'Deoxyribonucleoside, cytosine', 'Deoxyriboside, cytosine', 'Deoxycytidine']",C9H13N3O4,"4-amino-1-[(2R,4S,5R)-4-hydroxy-5-(hydroxymethyl)oxolan-2-yl]-1,2-dihydropyrimidin-2-one",951-77-9,NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](CO)O1,"InChI=1S/C9H13N3O4/c10-7-1-2-12(9(15)11-7)8-3-5(14)6(4-13)16-8/h1-2,5-6,8,13-14H,3-4H2,(H2,10,11,15)/t5-,6+,8+/m0/s1",CKTSBUTUHBMZGZ-SHYZEUOFSA-N,227.090605919,227.2172,HMDB0000014_nmroned_1029_27921.txt,nmroned
HMDB0000016,['HMDB00016'],Deoxycorticosterone,"['21-Hydroxy-4-pregnene-3,20-dione', '21-Hydroxyprogesterone', '4-Pregnen-21-ol-3,20-dione', 'Cortexone', 'DESOXYCORTICOSTERONE', 'Desoxycortone', 'DOC', ""Kendall's desoxy compound b"", ""Reichstein's substance Q"", '11-Dehydroxycorticosterone', '11-Deoxy-corticosterone', '11-Deoxycorticosterone', '11-Desoxycorticosterone', '21-Hydroxy-3,20-dioxopregn-4-ene', '21-Hydroxy-D4-pregnane-3,20-dione', '21-Hydroxy-D4-pregnene-3,20-dione', '21-Hydroxy-pregn-4-ene-3,20-dione', '21-Hydroxy-progesterone', '21-Hydroxypregn-4-ene-3,20-dione', 'D4-Pregnene-21-ol-3,20-dione', 'Deoxycortone', 'Doca', '11-Decorticosterone', '21 Hydroxyprogesterone', '11 Decorticosterone', '21 Hydroxy 4 pregnene 3,20 dione', 'Deoxycorticosterone']",C21H30O3,"(1S,2R,10S,11S,14S,15S)-14-(2-hydroxyacetyl)-2,15-dimethyltetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadec-6-en-5-one",64-85-7,[H][C@@]12CC[C@H](C(=O)CO)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,"InChI=1S/C21H30O3/c1-20-9-7-14(23)11-13(20)3-4-15-16-5-6-18(19(24)12-22)21(16,2)10-8-17(15)20/h11,15-18,22H,3-10,12H2,1-2H3/t15-,16-,17-,18+,20-,21-/m0/s1",ZESRJSPZRDMNHY-YFWFAHHUSA-N,330.219494826,330.4611,HMDB0000016_nmroned_1031_27929.txt,nmroned
HMDB0000017,['HMDB00017'],4-Pyridoxic acid,"['2-Methyl-3-hydroxy-4-carboxy-5-hydroxymethylpyridine', '3-Hydroxy-5-(hydroxymethyl)-2-methyl-4-pyridinecarboxylic acid', '3-Hydroxy-5-(hydroxymethyl)-2-methylisonicotinic acid', '4-Pyridoxinecarboxylic acid', '4-Pyridoxinic acid', '4-Pyridoxinsaeure', '4-Pyridoxylic acid', 'Pyridoxic acid', '3-Hydroxy-5-(hydroxymethyl)-2-methyl-4-pyridinecarboxylate', '3-Hydroxy-5-(hydroxymethyl)-2-methylisonicotinate', '4-Pyridoxinecarboxylate', '4-Pyridoxinate', '4-Pyridoxylate', 'Pyridoxate', '4-Pyridoxate', '3-Hydroxy-5-(hydroxymethyl)-2-methyl-isonicotinate', '3-Hydroxy-5-(hydroxymethyl)-2-methyl-isonicotinic acid', '3-Hydroxy-5-hydroxymethyl-2-methyl-isonicotinate', '3-Hydroxy-5-hydroxymethyl-2-methyl-isonicotinic acid', '3-Hydroxy-5-hydroxymethyl-2-methyl-isonicotinsaeure', '4 Pyridoxinic acid', 'Pyridoxinecarboxylic acid', '4 Pyridoxylic acid', '4 Pyridoxic acid']",C8H9NO4,3-hydroxy-5-(hydroxymethyl)-2-methylpyridine-4-carboxylic acid,82-82-6,CC1=NC=C(CO)C(C(O)=O)=C1O,"InChI=1S/C8H9NO4/c1-4-7(11)6(8(12)13)5(3-10)2-9-4/h2,10-11H,3H2,1H3,(H,12,13)",HXACOUQIXZGNBF-UHFFFAOYSA-N,183.053157781,183.1614,HMDB0000017_nmroned_1032_27933.txt,nmroned
